video_id,question_id,video_name,video_trans,video_link,question
v_51_3,q_7_v_51_3,Auto Locks _ Ford How-To _ Ford-X9VXONMv7OM,"00:00:26.970 --> 00:00:27.820
Don't worry.
00:00:27.820 --> 00:00:29.450
If you'd rather choose when to lock or
00:00:29.450 --> 00:00:33.910
unlock your doors, you can turn off
either or both features at any time.
00:00:33.910 --> 00:00:36.740
First, you'll need to
access programming mode.
00:00:36.740 --> 00:00:37.316
Here's how.
00:00:37.316 --> 00:00:41.015
[MUSIC]
00:00:41.015 --> 00:00:45.980
Turn the car on,
press the car unlock button three times.
00:00:45.980 --> 00:00:50.945
Turn the car off, press the unlock
button three more times and
00:00:50.945 --> 00:00:52.895
turn the car on again.
00:00:52.895 --> 00:00:56.185
You'll hear a chirp to let you know
you've entered the programming mode.
00:00:56.185 --> 00:00:57.435
Still with me?
00:00:57.435 --> 00:00:58.335
Good.",http://people.csail.mit.edu/rishabhy/split_videos/Auto Locks _ Ford How-To _ Ford-X9VXONMv7OM_seg3.mp4,What sound alerts you that you have entered program mode?
v_12_3,q_19_v_12_3,Forward Collision Warning with Brake Support - F-Series _ Ford How-To _ Ford-1MCegMMMIS0,"00:00:47.300 --> 00:00:51.375
Using the five way switch on your steering
wheel, from the settings menu, scroll to
00:00:51.375 --> 00:00:56.910
pre-collision, alert sensitivity, and
then select high, normal, or low.
00:00:56.910 --> 00:01:01.280
A lower setting will send fewer warnings,
while a higher setting with give earlier,
00:01:01.280 --> 00:01:02.250
more frequent warnings.",http://people.csail.mit.edu/rishabhy/split_videos/Forward Collision Warning with Brake Support - F-Series _ Ford How-To _ Ford-1MCegMMMIS0_seg3.mp4,How many options of alert sensitivity is available in the system?
v_18_3,q_20_v_18_3,Hands Free Liftgate _ Ford How-to _ Ford-nmWSzJn1Dfk,"00:00:24.910 --> 00:00:29.540
To close it, you can kick your leg under
the bumper again, or simply push the lift
00:00:29.540 --> 00:00:33.700
gate close button located on
the bottom of the lift gate, here.",http://people.csail.mit.edu/rishabhy/split_videos/Hands Free Liftgate _ Ford How-to _ Ford-nmWSzJn1Dfk_seg3.mp4,do I need hands to close the back hatch
v_57_1,q_9_v_57_1,Automatic Headlamps With Wiper-Activated Headlamp Feature _ Ford How-To _ Ford-FOL9B-e2Oz8,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.649
[MUSIC]
00:00:04.649 --> 00:00:08.112
Did you know that your vehicle has a
feature that can help increase visibility
00:00:08.112 --> 00:00:11.841
in bad weather by automatically turning
on your headlamps whenever the windshield
00:00:11.841 --> 00:00:12.995
wipers are switched on?
00:00:12.995 --> 00:00:14.595
[MUSIC]
00:00:14.595 --> 00:00:15.923
Let me explain.",http://people.csail.mit.edu/rishabhy/split_videos/Automatic Headlamps With Wiper-Activated Headlamp Feature _ Ford How-To _ Ford-FOL9B-e2Oz8_seg1.mp4,What vehicle feature can help increase visibility in bad weather?
v_86_5,q_13_v_86_5,SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw,"00:01:12.040 --> 00:01:15.260
For more feature settings,
swipe left on the touch screen.
00:01:15.260 --> 00:01:19.930
Touching Vehicle enables you to set your
camera settings, warning chimes, and
00:01:19.930 --> 00:01:21.630
information chimes.",http://people.csail.mit.edu/rishabhy/split_videos/SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw_seg5.mp4,How can more settings be accessed from the settings menu?
v_103_4,q_6_v_103_4,Electric Vehicle Charge Cord _ Ford How-To _ Ford-wQPORipGnZ8,"00:00:52.540 --> 00:00:56.902
To access the charge port light
preferences, using the touchscreen,
00:00:56.902 --> 00:01:00.113
touch settings, vehicle,
and charge port light.
00:01:00.113 --> 00:01:01.307
[MUSIC]
00:01:01.307 --> 00:01:03.600
The default setting is on.
00:01:03.600 --> 00:01:07.480
This means the port lights will illuminate
when you plug in, when the vehicle is
00:01:07.480 --> 00:01:13.080
charging, and anytime you press the unlock
button on your key fob or open the doors.
00:01:13.080 --> 00:01:16.370
Selecting Limited will prevent the port
lights from coming on while the vehicle
00:01:16.370 --> 00:01:17.860
is charging.
00:01:17.860 --> 00:01:20.410
And Off will disable
all lighting features.",http://people.csail.mit.edu/rishabhy/split_videos/Electric Vehicle Charge Cord _ Ford How-To _ Ford-wQPORipGnZ8_seg4.mp4,what is the default setting of charge port light ?
v_48_1,q_20_v_48_1,MyView _ Ford How-To _ Ford-gpmYDUDW1bM,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.749
[MUSIC].
00:00:04.749 --> 00:00:07.796
For your convenience,
your C-MAX Energi, Fusion Energi, or
00:00:07.796 --> 00:00:12.030
hybrid vehicle allows you to
customize the information display.
00:00:12.030 --> 00:00:15.990
With MyView, you can choose which
combination of two informational screens or
00:00:15.990 --> 00:00:17.846
columns you want to view on the left side.",http://people.csail.mit.edu/rishabhy/split_videos/MyView _ Ford How-To _ Ford-gpmYDUDW1bM_seg1.mp4,How many columns of information does MyView allow the driver to choose?
v_81_1,q_18_v_81_1,Configurable Daytime Running Lamps _ Ford How-To _ Ford-HeJaJ_ufDuc,"WEBVTT
Kind: captions
Language: en
00:00:00.160 --> 00:00:04.686
[MUSIC]
00:00:04.686 --> 00:00:07.738
Your vehicle may have daytime running
lamps that can be turned on or
00:00:07.738 --> 00:00:09.840
off depending on your preference.
00:00:09.840 --> 00:00:11.450
Let me explain.",http://people.csail.mit.edu/rishabhy/split_videos/Configurable Daytime Running Lamps _ Ford How-To _ Ford-HeJaJ_ufDuc_seg1.mp4,Can I tirn off the daytime running lamps on this car?
v_38_1,q_9_v_38_1,What Are Autolamps _ Ford How-To _ Ford-vl7XcQJbn7I,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:03.963
[MUSIC]
00:00:03.963 --> 00:00:06.130
Why do my headlamps automatically turn on?
00:00:07.520 --> 00:00:09.500
&gt;&gt; How do I get my headlamps
to turn on automatically?
00:00:10.530 --> 00:00:14.620
&gt;&gt; Your vehicle may be equipped with
automatic headlamps, or autolamp.
00:00:14.620 --> 00:00:18.610
It's easy to tell, just look for
this icon on your headlamp controls.
00:00:18.610 --> 00:00:22.530
Your headlamps will automatically turn
on when ambient light levels are low, or
00:00:22.530 --> 00:00:23.630
when natural light decreases.",http://people.csail.mit.edu/rishabhy/split_videos/What Are Autolamps _ Ford How-To _ Ford-vl7XcQJbn7I_seg1.mp4,how do you turn the auto lamp on?
v_86_2,q_13_v_86_2,SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw,"00:00:18.140 --> 00:00:21.010
To start, go to the Settings
menu on the touch screen.
00:00:21.010 --> 00:00:23.690
It's the one that looks like gears, here.
00:00:23.690 --> 00:00:27.230
From here, you could personalize
several of your SYNC 3 features.
00:00:27.230 --> 00:00:31.040
You can set the clock by touching the
Clock tile as well as set automatic time
00:00:31.040 --> 00:00:34.790
zone updates, which adjusts the clock to
match the time zone you're driving in.",http://people.csail.mit.edu/rishabhy/split_videos/SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw_seg2.mp4,How to find the settings menu?
