video_id,question_id,video_name,video_trans,video_link,question
v_50_5,q_8_v_50_5,One-Touch Power Windows _ Ford How-To _ Ford-cLKzpaEDdRk,"00:00:46.090 --> 00:00:48.750
For your safety, your windows
also have a bounce back feature.
00:00:48.750 --> 00:00:51.350
If you're closing a window and
it senses something in the way,
00:00:51.350 --> 00:00:53.450
it will automatically stop.
00:00:53.450 --> 00:00:55.750
That way, no one gets hurt and
nothing gets stuck.",http://people.csail.mit.edu/rishabhy/split_videos/One-Touch Power Windows _ Ford How-To _ Ford-cLKzpaEDdRk_seg5.mp4,How does the bounce back feature work?
v_51_4,q_5_v_51_4,Auto Locks _ Ford How-To _ Ford-X9VXONMv7OM,"00:00:58.335 --> 00:01:04.330
To turn Autolock on or off, press the door
unlock button, then the door lock button.
00:01:04.330 --> 00:01:06.658
The horn will chirp once
if Autolock was turned off.
00:01:06.658 --> 00:01:13.142
Or twice, [NOISE] one short chirp, and
one long chirp if Autolock was turned on.",http://people.csail.mit.edu/rishabhy/split_videos/Auto Locks _ Ford How-To _ Ford-X9VXONMv7OM_seg4.mp4,how do you turn auto lock on?
v_33_1,q_8_v_33_1,Adaptive Cruise Control Using Tow_Haul Mode _ Ford How-To _ Ford-xe7aziYMt6w,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:03.421
[MUSIC]
00:00:03.421 --> 00:00:07.043
Your vehicle may have an available feature
that can help keep your distance from
00:00:07.043 --> 00:00:10.230
the car in front of you when
you use cruise control.
00:00:10.230 --> 00:00:14.120
It functions just like normal cruise
control, with a few exceptions.
00:00:14.120 --> 00:00:15.650
Let me tell you about it.",http://people.csail.mit.edu/rishabhy/split_videos/Adaptive Cruise Control Using Tow_Haul Mode _ Ford How-To _ Ford-xe7aziYMt6w_seg1.mp4,Does the haul/tow mode come with every Ford model?
v_91_1,q_3_v_91_1,Dynamic Hitch Assist _ Ford How-To _ Ford-JgPTe-ZM9sk,"WEBVTT
Kind: captions
Language: en
00:00:00.283 --> 00:00:04.201
[MUSIC]
00:00:04.201 --> 00:00:08.154
Your vehicle may have a unique feature
that can help you easily connect a trailer
00:00:08.154 --> 00:00:09.163
even without help.
00:00:09.163 --> 00:00:10.139
Let me explain,",http://people.csail.mit.edu/rishabhy/split_videos/Dynamic Hitch Assist _ Ford How-To _ Ford-JgPTe-ZM9sk_seg1.mp4,How can I connect a trailer easily?
v_23_4,q_7_v_23_4,Using SiriusXM Satellite Radio With SYNC 3 _ Ford How-To _ Ford-vWuKT_SnkXs,"00:01:04.550 --> 00:01:07.340
There’s also an option that
lets you skip channels or
00:01:07.340 --> 00:01:09.690
lock them out from young listeners.
00:01:09.690 --> 00:01:14.240
From the listing screen, anytime you touch
the skip button next to a specific channel
00:01:14.240 --> 00:01:18.680
or use the seek up and down buttons,
that channel will be automatically skipped
00:01:18.680 --> 00:01:22.640
when manually tuned using the tune up or
tune down buttons.
00:01:22.640 --> 00:01:25.220
Touching the lock button
followed by your PIN number
00:01:25.220 --> 00:01:28.318
will prevent that channel
from being listened to.",http://people.csail.mit.edu/rishabhy/split_videos/Using SiriusXM Satellite Radio With SYNC 3 _ Ford How-To _ Ford-vWuKT_SnkXs_seg4.mp4,How can you skip channels?
v_70_3,q_19_v_70_3,SelectShift Automatic Transmission   Truck _ Ford How-To _ Ford-P5xyDww1ks0,"00:00:35.750 --> 00:00:37.500
With your gear shift lever in D,
00:00:37.500 --> 00:00:41.000
press the minus button to activate
progressive range selection.
00:00:41.000 --> 00:00:43.490
When you do,
you'll see the available gears
00:00:43.490 --> 00:00:47.150
as well as the current gear
indicated on the instrument cluster.
00:00:47.150 --> 00:00:51.350
So, if you press the minus button once,
it will lock out sixth gear.
00:00:51.350 --> 00:00:54.230
And press it again to lock out fifth,
and so on.
00:00:54.230 --> 00:00:57.640
Once you lock out gears,
only the available gears will be shown and
00:00:57.640 --> 00:00:59.960
your transmission will
automatically shift between them.
00:01:01.000 --> 00:01:03.950
The unlocked gears will automatically
reappear in the display
00:01:03.950 --> 00:01:05.070
when you restart your vehicle.
00:01:06.580 --> 00:01:09.170
To unlock a gear,
just press the plus button.",http://people.csail.mit.edu/rishabhy/split_videos/SelectShift Automatic Transmission   Truck _ Ford How-To _ Ford-P5xyDww1ks0_seg3.mp4,How to lock or  unlock the gears of the vehicle?
v_13_1,q_6_v_13_1,Front and Rear Wiper Stalk Control _ Ford How-To _ Ford-yUtE3AirOxc,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:06.052
[MUSIC]
00:00:06.052 --> 00:00:09.786
Your vehicle is equipped with an available
wiper stalk that controls the front and
00:00:09.786 --> 00:00:10.770
rear window wipers.
00:00:12.120 --> 00:00:15.140
Your front wipers are controlled
by moving the stalk up or down.
00:00:18.340 --> 00:00:20.720
And the rear wiper controls
are at the tip of the stalk.
00:00:21.770 --> 00:00:22.780
Let me show you how they work.",http://people.csail.mit.edu/rishabhy/split_videos/Front and Rear Wiper Stalk Control _ Ford How-To _ Ford-yUtE3AirOxc_seg1.mp4,How are the front wipers controled?
v_61_1,q_9_v_61_1,Remote Power Tailgate Release _ Ford How-To _ Ford-pboOC6DrJAg,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.070
[MUSIC]
00:00:04.070 --> 00:00:07.360
Did you know that you can open your
tailgate without using your hands?
00:00:07.360 --> 00:00:08.700
Let me explain.
00:00:08.700 --> 00:00:11.340
Push the tailgate release button
on your remote two times.
00:00:12.500 --> 00:00:16.220
The tailgate is dampened, which reduces
the speed that the tailgate lowers.
00:00:16.220 --> 00:00:20.280
So don't worry, it'll gradually come down
to a flat position without slamming.
00:00:20.280 --> 00:00:22.620
To close the tailgate,
push it up with both hands.
00:00:23.640 --> 00:00:24.610
You can also lock and
00:00:24.610 --> 00:00:27.740
unlock the tailgate using the lock or
unlock buttons on your remote.
00:00:28.980 --> 00:00:31.496
Any questions, go to FordOwner.com.
00:00:31.496 --> 00:00:41.496
[MUSIC]",http://people.csail.mit.edu/rishabhy/split_videos/Remote Power Tailgate Release _ Ford How-To _ Ford-pboOC6DrJAg_seg1.mp4,How do you open the tailgate on the vehicle hands-free?
v_67_4,q_7_v_67_4,BLIS With Cross-Traffic Alert _ Ford How-To _ Ford-nOMzS_TkFT0,"00:00:58.497 --> 00:01:01.470
Now, let's talk about Cross-Traffic alert.
00:01:01.470 --> 00:01:05.650
It warns you of moving cars coming from
either side when you're in reverse or
00:01:05.650 --> 00:01:09.550
backing up and gives you three warnings,
a light on the corresponding
00:01:09.550 --> 00:01:13.470
side view mirror, a chime, and
a message in your message center.
00:01:14.470 --> 00:01:16.970
Extreme weather conditions
could block the sensors, but
00:01:16.970 --> 00:01:20.370
if that happens, you'll get a warning
message and a chime to let you know.
00:01:20.370 --> 00:01:23.234
And keep in mind,
as with the most radar, infrared, and
00:01:23.234 --> 00:01:27.246
ultrasonic-type sensing system,
there is the possibility of false alerts.",http://people.csail.mit.edu/rishabhy/split_videos/BLIS With Cross-Traffic Alert _ Ford How-To _ Ford-nOMzS_TkFT0_seg4.mp4,How does the cross traffic alert function?
v_86_3,q_2_v_86_3,SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw,"00:00:34.790 --> 00:00:38.840
Touching the Sound tile allows you to
adjust certain sound settings, like treble
00:00:38.840 --> 00:00:44.330
and bass, midrange, fade and balance,
and speed adaptive volume control,
00:00:44.330 --> 00:00:48.070
which increases or decreases
the volume based on your driving speed.
00:00:48.070 --> 00:00:51.000
To reset sound levels back to
the original default setting,
00:00:51.000 --> 00:00:54.500
just press the Reset All button, here.",http://people.csail.mit.edu/rishabhy/split_videos/SYNC 3 Overview - Customizable Settings _ SYNC 3 How-To _ Ford-4c3WN1usCGw_seg3.mp4,How do you reset the sound settings?
