video_id,question_id,video_name,video_trans,video_link,question
v_23_6,q_1_v_23_6,Using SiriusXM Satellite Radio With SYNC 3 _ Ford How-To _ Ford-vWuKT_SnkXs,"00:01:54.200 --> 00:01:57.070
To tune into a specific channel
using the touch screen,
00:01:57.070 --> 00:01:58.780
touch the Direct Tune button.
00:01:58.780 --> 00:02:03.200
Then enter the station number using
the number keypad and hit Enter.",http://people.csail.mit.edu/rishabhy/split_videos/Using SiriusXM Satellite Radio With SYNC 3 _ Ford How-To _ Ford-vWuKT_SnkXs_seg6.mp4,How can I tune into a specific channel using the touch screen?
v_72_4,q_11_v_72_4,Setting Up Trailer Reverse Guidance _ Ford How-To _ Ford-M0Y7QXobCD8,"00:02:18.170 --> 00:02:21.850
Now, I'm going to tell you how to place
the checkered sticker I just mentioned.
00:02:21.850 --> 00:02:25.340
The sticker acts as a target that
the trailer reverse guidance feature and
00:02:25.340 --> 00:02:28.480
rear view camera use to track which
direction the trailer is moving.
00:02:29.640 --> 00:02:31.250
Take the checkered target sticker and
00:02:31.250 --> 00:02:33.830
measurement card with you
to the rear of the vehicle.
00:02:33.830 --> 00:02:36.790
You'll want to place the sticker
within 7 to 22 inches from
00:02:36.790 --> 00:02:38.890
the center of the trailer hitch ball.
00:02:38.890 --> 00:02:42.696
You'll need to make sure to place the
sticker on a flat horizontal surface, so
00:02:42.696 --> 00:02:46.573
the entire sticker is in the acceptable
zone invisible by the rearview camera.
00:02:46.573 --> 00:02:48.293
[MUSIC]
00:02:48.293 --> 00:02:50.430
This is where an assistant
would be helpful.
00:02:50.430 --> 00:02:54.020
Once the sticker is in place, you'll
need to use your tape measure to get and
00:02:54.020 --> 00:02:56.020
record several measurements.
00:02:56.020 --> 00:02:59.880
First, measure the horizontal distance
from the license plate to the center of
00:02:59.880 --> 00:03:01.720
the hitch ball, and write it down.
00:03:01.720 --> 00:03:06.130
Next, measure the horizontal distance
from the center of the hitch ball to
00:03:06.130 --> 00:03:07.746
the center of the sticker.
00:03:07.746 --> 00:03:11.870
And the distance from the rear view
camera to the center of the sticker.
00:03:11.870 --> 00:03:15.218
Keep in mind, the location is
not dependent on a straight or
00:03:15.218 --> 00:03:20.780
a frame type, but based on where a surface
is available that meets the requirements.
00:03:20.780 --> 00:03:24.740
And finally, the horizontal distance from
the tailgate to the center of the trailer
00:03:24.740 --> 00:03:26.645
axle if it's a single axle trailer.
00:03:28.335 --> 00:03:30.685
If the trailer has two or more axles,
00:03:30.685 --> 00:03:34.680
measure to the center point
between both axles, here.",http://people.csail.mit.edu/rishabhy/split_videos/Setting Up Trailer Reverse Guidance _ Ford How-To _ Ford-M0Y7QXobCD8_seg4.mp4,What should you ensure for the checkered sticker so that it can be viewed by the rear view camera?
v_30_3,q_19_v_30_3,Accessing the Vehicle Jack _ Ford How-To _ Ford-IAooaKIXe_U,"00:00:39.684 --> 00:00:43.216
The jack handle and lug wrench are located
in a storage compartment in the side of
00:00:43.216 --> 00:00:46.160
the passenger seat base, by the step well.
00:00:46.160 --> 00:00:49.460
Just put your fingers under
the two slots and pull it open.
00:00:49.460 --> 00:00:52.100
The six-piece jack handle
is inside a pouch,
00:00:52.100 --> 00:00:54.360
simply unsnap the three
straps to remove it.
00:00:55.560 --> 00:00:59.872
Now assemble the jack handle by inserting
the male end with the locking button into
00:00:59.872 --> 00:01:03.017
the tube, making sure it lines up and
snaps into position.
00:01:03.017 --> 00:01:05.545
Do the same with the remaining pieces.",http://people.csail.mit.edu/rishabhy/split_videos/Accessing the Vehicle Jack _ Ford How-To _ Ford-IAooaKIXe_U_seg3.mp4,Where are the jack handle and lug wrench located in this vehicle? 
v_70_4,q_16_v_70_4,SelectShift Automatic Transmission   Truck _ Ford How-To _ Ford-P5xyDww1ks0,"00:01:09.170 --> 00:01:13.070
To manually shift gears,
move your gear shift from D to M.
00:01:13.070 --> 00:01:15.820
Now, only your current gear will appear.
00:01:15.820 --> 00:01:19.590
And you can use the plus button to up
shift and the minus to down shift.
00:01:19.590 --> 00:01:23.690
Keep in mind, even though you're manually
changing gears, SelectShift will prevent
00:01:23.690 --> 00:01:28.510
some shifts if your engine speed is
too high or if your RPMs are too low.
00:01:28.510 --> 00:01:32.710
And if you come to a stop while in Manual
Mode, the transmission will automatically
00:01:32.710 --> 00:01:36.600
downshift to a lower gear for
easier acceleration when you drive away.",http://people.csail.mit.edu/rishabhy/split_videos/SelectShift Automatic Transmission   Truck _ Ford How-To _ Ford-P5xyDww1ks0_seg4.mp4,How do you switch into manual shifting?
v_1_9,q_18_v_1_9,180 Camera with Split-View Display _ Ford How-To _ Ford-0znZlttKkuc,"00:01:44.780 --> 00:01:48.390
Keep in mind, you can also use the zoom
button on the touch screen to get a closer
00:01:48.390 --> 00:01:49.960
view of an image behind your vehicle.",http://people.csail.mit.edu/rishabhy/split_videos/180 Camera with Split-View Display _ Ford How-To _ Ford-0znZlttKkuc_seg9.mp4,When is manual zoom available?
v_104_2,q_8_v_104_2,Enhanced Active Park Assist with Side Sensing System _ Ford How-To _ Ford-fBF2E6gjwRU,"00:00:22.890 --> 00:00:25.210
To activate the park assist feature,
00:00:25.210 --> 00:00:28.670
press the active park assist button
on the center console, here.
00:00:28.670 --> 00:00:31.400
Then signal to indicate which side
you'd like the vehicle to search.
00:00:32.520 --> 00:00:35.450
An information screen will
appear on your center display.
00:00:35.450 --> 00:00:39.120
And the system will begin to scan for
available parking spots.
00:00:39.120 --> 00:00:42.160
Once an appropriate spot is found,
you’ll hear a chime and
00:00:42.160 --> 00:00:44.910
see a spot found message on your screen.
00:00:44.910 --> 00:00:48.180
Follow the prompts on your screen,
accelerating, shifting and
00:00:48.180 --> 00:00:50.070
braking as needed.
00:00:50.070 --> 00:00:52.180
And be sure to watch your mirrors and
your surroundings for
00:00:52.180 --> 00:00:54.660
any objects which you may
be getting too close to.",http://people.csail.mit.edu/rishabhy/split_videos/Enhanced Active Park Assist with Side Sensing System _ Ford How-To _ Ford-fBF2E6gjwRU_seg2.mp4,How does the park assist feature aid in parking the vehicle?
v_106_1,q_1_v_106_1,Explorer Trailer Hitch Cover Removal _ Ford How-To _ Ford-83YuRtOT7_Q,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.165
[MUSIC]
00:00:04.165 --> 00:00:07.320
You may be interested to know that
your vehicle may have a panel
00:00:07.320 --> 00:00:10.710
located on the rear bumper
that hides the trailer hitch.
00:00:10.710 --> 00:00:14.700
And, when needed, can be easily
removed to access the hitch area.
00:00:14.700 --> 00:00:16.060
Let me explain.",http://people.csail.mit.edu/rishabhy/split_videos/Explorer Trailer Hitch Cover Removal _ Ford How-To _ Ford-83YuRtOT7_Q_seg1.mp4,Where is the trailer hitch on my vehicle?
v_67_1,q_22_v_67_1,BLIS With Cross-Traffic Alert _ Ford How-To _ Ford-nOMzS_TkFT0,"WEBVTT
Kind: captions
Language: en
00:00:00.243 --> 00:00:05.369
[MUSIC]
00:00:05.369 --> 00:00:08.637
Your vehicle has a few features that are
designed to help alert you when a car is
00:00:08.637 --> 00:00:12.550
in your blind spot or approaching from
either side when you're backing up slowly.
00:00:12.550 --> 00:00:14.355
Let me tell you how it works.",http://people.csail.mit.edu/rishabhy/split_videos/BLIS With Cross-Traffic Alert _ Ford How-To _ Ford-nOMzS_TkFT0_seg1.mp4,What does Blind Spot Information System stand for?
v_10_2,q_18_v_10_2,Twin-Panel Moonroof _ Ford How-To _ Ford-VVTFXgQAMeE,"00:00:17.220 --> 00:00:21.055
You can open it without opening the glass
by firmly pressing the open sunshade
00:00:21.055 --> 00:00:23.075
control button here.
00:00:23.075 --> 00:00:26.481
You'll notice that the sunshade
only opens part of the way, so
00:00:26.481 --> 00:00:29.255
press the button again to
open the sunshade fully.
00:00:29.255 --> 00:00:32.285
To close it, firmly press
the close sunshade control button.
00:00:32.285 --> 00:00:35.359
[MUSIC]",http://people.csail.mit.edu/rishabhy/split_videos/Twin-Panel Moonroof _ Ford How-To _ Ford-VVTFXgQAMeE_seg2.mp4,"Why does the sunshade only open halfway when I click the ""open sunshade"" button?"
v_26_4,q_5_v_26_4,How to Set Up Pro Trailer Backup Assist  _ Ford How-To _ Ford-oeF7w7ngcYM,"00:01:55.850 --> 00:01:59.360
Now, I'm going to tell you how to place
the checkered sticker I just mentioned.
00:01:59.360 --> 00:02:03.473
The sticker acts as a target with
the Pro Trailer Backup Assist feature and
00:02:03.473 --> 00:02:07.537
rear-view camera used to track which
direction the trailer is moving.
00:02:07.537 --> 00:02:09.147
Take the checkered target sticker and
00:02:09.147 --> 00:02:11.419
measurement card with you
to the rear of the vehicle.
00:02:11.419 --> 00:02:15.521
You want to place the sticker within 7 to
22 inches from the center of the trailer
00:02:15.521 --> 00:02:16.198
hitch ball.
00:02:16.198 --> 00:02:19.879
You'll need to make sure to place the
sticker on a flat horizontal service that
00:02:19.879 --> 00:02:21.681
is visible by the rear-view camera.
00:02:21.681 --> 00:02:24.369
This is where an assistant
would be helpful.
00:02:24.369 --> 00:02:28.192
One the sticker is in place, you'll
need to use your tape measure to get and
00:02:28.192 --> 00:02:29.841
record several measurements.",http://people.csail.mit.edu/rishabhy/split_videos/How to Set Up Pro Trailer Backup Assist  _ Ford How-To _ Ford-oeF7w7ngcYM_seg4.mp4,What part of the trailer do you put the stickers on?
